"uid","vin","ys_time_stamp","sourceSystem","validationFlag","latitude","longitude","angle","custom1","custom2","custom3","custom4","location1","location2","location3","location4","image"
"062283523_N6E26937","N6E26937","2022-06-23 15:20:00.000","Drone","1","18.719208945833632","73.80281023470884","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/62aaf718-bb32-4cc1-bb4c-270535681c33?auto=format,compress,enhance&w=400"
"062283523_N6E29504","N6E29504","2022-06-23 15:20:00.000","Drone","1","18.719208945833632","73.80281023470884","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/62aaf718-bb32-4cc1-bb4c-270535681c33?auto=format,compress,enhance&w=400"
"062283523_N6F29853","N6F29853","2022-06-23 15:20:00.000","Drone","1","18.719160001389447","73.80279956804065","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/2be3120f-fb71-43ae-89e7-cd233610bc15?auto=format,compress,enhance&w=400"
"062283523_N6E29560","N6E29560","2022-06-23 15:20:00.000","Drone","1","18.719160001389447","73.80279956804065","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/2be3120f-fb71-43ae-89e7-cd233610bc15?auto=format,compress,enhance&w=400"
"062283523_N6F29828","N6F29828","2022-06-23 15:20:00.000","Drone","1","18.719111251389677","73.80278926248357","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/d6022e31-42c1-4c2b-b7b1-944cfec4f616?auto=format,compress,enhance&w=400"
"062283523_N6F29785","N6F29785","2022-06-23 15:20:00.000","Drone","1","18.719111251389677","73.80278926248357","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/d6022e31-42c1-4c2b-b7b1-944cfec4f616?auto=format,compress,enhance&w=400"
"062283523_N6E27493","N6E27493","2022-06-23 15:20:00.000","Drone","1","18.719213118846547","73.80275338562434","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/c2613ff1-2ba0-4839-bada-40a3c2d62815?auto=format,compress,enhance&w=400"
"062283523_N6E29582","N6E29582","2022-06-23 15:20:00.000","Drone","1","18.719262368846323","73.80276433007009","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/4711fded-bc2f-4c77-9c1b-b625811418c1?auto=format,compress,enhance&w=400"
"062283523_N6E29532","N6E29532","2022-06-23 15:20:00.000","Drone","1","18.719262368846323","73.80276433007009","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/4711fded-bc2f-4c77-9c1b-b625811418c1?auto=format,compress,enhance&w=400"
"062283523_N6E27245","N6E27245","2022-06-23 15:20:00.000","Drone","1","18.719312118846112","73.80277530229358","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/4e89a8d4-0dd3-45c4-a4b6-0ade5ff65912?auto=format,compress,enhance&w=400"
"062283523_N6E29605","N6E29605","2022-06-23 15:20:00.000","Drone","1","18.71936142440147","73.80278516340604","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/60b87197-153f-402f-ac67-fc63876a3448?auto=format,compress,enhance&w=400"
"062283523_N6E29685","N6E29685","2022-06-23 15:20:00.000","Drone","1","18.7193682855132","73.80276633007372","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/083ddada-c6e4-488f-a973-50216e2a9d83?auto=format,compress,enhance&w=400"
"062283523_N6F30304","N6F30304","2022-06-23 15:20:00.000","Drone","1","18.71924553551501","73.80269991340548","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/623bf8a1-d727-483e-9318-9818eed1995b?auto=format,compress,enhance&w=400"
"062283523_N6E27842","N6E27842","2022-06-23 15:20:00.000","Drone","1","18.719196424404103","73.80268991340415","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/7045bf7c-52de-4329-8ca0-e2a9511280cb?auto=format,compress,enhance&w=400"
"062283523_N6E27552","N6E27552","2022-06-23 15:20:00.000","Drone","1","18.719196424404103","73.80268991340415","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/7045bf7c-52de-4329-8ca0-e2a9511280cb?auto=format,compress,enhance&w=400"
"062283523_N6F29762","N6F29762","2022-06-23 15:20:00.000","Drone","1","18.719294007738593","73.80266155229765","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/880772a9-acb7-4612-b451-5eea59789bff?auto=format,compress,enhance&w=400"
"062283523_N6E27294","N6E27294","2022-06-23 15:20:00.000","Drone","1","18.719376979962203","73.80262508007986","-171.7","","","","","CK01","","","","https://yelloskye.imgix.net/Outputs/JXWv93dtpX1YVkVOOvYf/images/c6e0bca8-591b-4741-b196-1e112e52ed9c?auto=format,compress,enhance&w=400"
